,cosmo_solubility_g_100g_log,solute_chiral_u,solute_reactive,solute_SlogP_VSA6,solute_SMR_VSA4,solute_PEOE_VSA+4,solute_logP(o/w),solute_PEOE_RPC-,solute_a_ICM,solute_rsynth,solvent_rsynth,solute_PEOE_VSA-0,solute_radius,solute_a_nN,solute_balabanJ,solute_GCUT_PEOE_2,solute_PEOE_RPC+,solute_PEOE_VSA-4,solute_PEOE_VSA_FPOS,solute_SlogP_VSA1
butylparaben,0.5937695966570908,0.0,0.0,0.0,0.04665096585435162,0.04512954846405173,0.03314499274297244,0.0,0.0,0.05143599731288293,0.0,0.04387974515030581,0.0,0.0,0.0,0.0,0.0,0.0,0.07551192610037813,0.0
iodopropynyl butylcarbamate,0.4244572318984108,0.0,0.12321897633206959,0.0,0.012637602275588793,0.0,0.0,0.0,0.0,0.0,0.0,0.01639891910093628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
propylparaben,0.4669322289054747,0.0,0.0,0.0,0.02425194634582481,0.0801435769073157,0.0,0.020805447607912104,0.027055053343253713,0.06791997058090594,0.0,0.0954525546563042,0.0,0.0,0.0,0.0,0.0,0.049330258803876655,0.07423260758809959,0.025854287740947068
frambinone,0.4904702639496127,0.0,0.15724137332331534,0.0,0.028425448751925486,0.03772154524847263,0.0,0.03292733112275236,0.05271228239416265,0.17419875802714008,0.0,0.0,0.015961433069123933,0.0,0.0,0.0,0.0,0.01819280423701662,0.0,0.0
2-aminopyridine,0.4182211580795133,0.0,0.0,0.0,0.0,0.0,0.0,0.18517943102593484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triclosan,0.21446958088767668,0.0,0.0,0.06709090661242613,0.0,0.03079199843282132,0.0,0.0,0.0,0.0,-0.027866427935628546,0.0,0.0,0.07309735081771956,0.0,0.0,-0.02106970049254947,0.0,0.0,0.0
diphenylamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23024242188245694,0.15629074217232825,0.22079526143602654,0.011674765137927652,0.0,0.020863347549775983,0.0,0.0,0.0,0.0,0.03686432521562704,0.05900883443867134,0.0
ketoprofen,0.3545806888592672,0.24451535570360963,0.1404836552859252,0.13013052515788326,0.026253603185225762,0.010790969698826912,0.023215156114483992,0.0,0.04173797298213422,0.01983487142543933,0.010727325890380966,0.0,0.0,0.01611842036038639,0.0,0.0,0.0,0.015684200299897682,0.0,0.0
hydroquinone,0.31813303833307965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10412131389687122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ibuprofen,0.4006272076669995,0.2088814127759194,0.0,0.11952957442802516,0.03342675972655546,0.0037307403520426903,0.022052391786302167,0.03455493489774398,0.04174827084226615,0.017228550908277542,0.0,0.0,0.0,0.012589907714341101,0.0124131531611541,0.0,0.048738317164299716,0.004963629179432869,0.0,0.0
4-hydroxy-3-methoxybenzaldehyde,0.34511138082637965,0.0,0.16845118567046127,0.0,0.0,0.0,0.0,0.046687918539294056,0.0,-0.007918736136445803,0.0,0.0,0.08323866960127833,0.0,0.07914094715379624,0.0,0.0,0.0,0.0,0.0
"oxolane-2,5-dione",0.10720898307740202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03161107793665501,0.024588033258729772,0.0,0.01830917131321048,0.0,0.0,0.0,0.0
d-(-)fructose,0.1537321723539694,0.0,0.0,0.0,0.0,-0.08954136575556687,0.0,0.0,0.0,0.057456256907695534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gw640129x,-0.041114759010103606,0.0,0.09876042495960947,0.0,0.021723736158461106,0.029800086615742988,0.029534750232034668,0.0,0.0,0.0,0.0075807567167580445,0.0,0.0,0.02076858431745581,0.0,0.11951807507895651,0.0,0.00930474749543375,0.0,0.00842280826078714
Benzoic acid,0.23272938479733185,-0.0011426635816374718,0.0,0.0,0.01157011302308372,0.01608091293808716,0.0,0.10866241063862894,0.003097228424856721,0.009890163506008248,0.004327392077610528,0.004879031059681817,0.02478418810473453,0.021341850712485965,0.003289046424935442,-0.0016639174064139622,0.07737853436414342,0.01726993100741555,0.00213880859091814,0.0
phenylphosphinic acid,0.10651945297023045,0.05734138778859164,0.14676065571697142,0.0,0.0,0.01841576778499625,0.0,0.0,0.0,0.06944297904151504,0.0,0.030960150711480477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Testosterone propionate,0.10804885847787242,0.0,0.0498038085268265,0.0,0.0,0.006945781302689552,0.023434229126317936,0.0,0.008820492418168941,0.0,-0.005039021281379014,0.0,-0.00804444456569324,0.0,0.0,0.04174659919874424,0.0,0.002387036287159028,0.0,0.0
