solute_name,solvent_FP_807,solvent_FP_1057,solvent_FP_695,solvent_FP_1143,solvent_FP_222,solvent_FP_650,solvent_FP_80,solvent_FP_790,solvent_FP_1683,solvent_FP_1238,solvent_FP_565,solvent_FP_794,solvent_FP_1444,solvent_FP_1,solvent_FP_591,solvent_FP_674,solvent_FP_1155,solvent_FP_1088,solvent_FP_1017,solvent_FP_294
butylparaben,0.06689872468393879,0.005980842026045138,0.009322618553705978,0.005908994892653938,0.01769154019464986,-0.0024425388895178914,-0.009688419577569902,0.00016106410408974625,-0.0029792205323101372,0.004157688113802578,-0.003421891247940948,-0.008279945770009362,-0.009535730759358558,-0.002087718474722351,-0.009430256658248252,0.0038102998522372223,-0.003565071585045189,0.001962714292370947,0.0030623485913674814,-0.003032805739909236
iodopropynyl butylcarbamate,0.060583115873942,-0.006108635469063302,0.007887598253546457,0.004766228045326291,0.017195394998091917,-0.00043842930141787894,-0.006748910423543748,-0.005052233088675469,-0.003329722279419608,0.0017088155852191752,-0.004563474167419675,-0.02133443336082261,-0.008947119979717777,0.0031222369279324384,-0.011987263463361918,0.0048472665661029165,-0.002339962424618231,0.003247064572727443,0.002436977724501048,-0.003186318284745842
frambinone,0.06547953068244625,0.0007707688662412692,-0.0022355937968313805,-0.004487193351101268,0.0009486711750150787,0.0028835880343910957,-0.004204153601442613,-0.0057022452235833045,-0.0009575451909677212,-0.0010543180228592063,-0.0034725642779540066,-0.0013101368353272843,0.004996937123405587,0.0002456279598322908,0.0023768133189491893,0.003630356001026485,-0.002320598117510144,0.002133645306867038,-0.0023198142312867275,-0.002434201122414379
propylparaben,0.0764355395043943,0.0007223540220911673,0.008724258909023773,0.006510763956741054,0.018673900633909096,-0.003047833620242576,-0.006336153902929406,0.0012795977350621493,-0.002708278139222481,0.0027610646295124753,-0.002977756163412171,-0.00850923954960687,-0.009816374279156055,-0.0008550313874548009,-0.007263654211941078,0.0041363537377522635,0.0026184732930020493,0.0023181772882162476,0.0021312849287035834,-0.004612469415123996
2-aminopyridine,0.012583864710308262,0.002331148195982677,-0.013286424470839848,-0.004471347763290396,-0.00417590481375737,0.005568761728505706,-0.00086531450268194,-0.008365681106515695,0.007093381376849721,-0.01279550023045158,0.014424500840141264,0.003905330864314692,0.003525916537459125,-0.000439746132129585,-0.0015810351404434181,0.006443892505776603,-0.0034146739492571217,0.0026817318930479816,-0.005128367008113856,-0.000524173520712793
diphenylamine,0.06308365946116586,-0.009008398940980746,0.009294094572032919,-0.007174312826943303,6.0142694280027e-05,-0.0007480788587417919,-0.002541696811261621,0.00010318740722141228,-0.006226369126864788,0.006102379641621762,-0.0034087906774523924,-0.0025507518329565453,0.004533267620839373,-0.00019331686745924044,-0.0012036865351789554,0.0018058585509910094,-0.0035354907031190427,0.0031832275580260714,0.005343410774718602,-0.009362541326305896
ibuprofen,-0.00572121085871105,0.004090042387296207,-0.0037142551302053167,-0.002688537231722337,-0.0006894514192407332,0.005204521251494886,-0.00015595952442591069,-0.004022546539956103,0.00036651883074901654,-0.01306097511882938,-0.0008303455427637717,-0.0010589787769248247,0.004626025633460139,-3.504781638858487e-05,0.00244138211422675,0.003776433962561728,0.00012390101796983002,0.002542153519342281,0.000879783930158737,-0.0011117818659483788
triclosan,-0.062006893078360006,0.020971256556404114,0.0066092825392479425,0.02560746731918698,-0.01202630426561882,-0.005592358395647352,-0.000716387912616483,-0.0005276098214017111,0.03219382942972516,0.0013570639671888784,0.08139357238640514,-0.0015516928538636416,-0.018566502560706796,0.007360341237508692,-0.0010431140095533923,0.0018053992078785085,-0.0019839520089590225,0.0010711886058106755,0.00168361726196963,-0.0024817457077006113
4-hydroxy-3-methoxybenzaldehyde,0.008791098969122687,0.002196837841584056,0.009768721234916787,-0.005106228803949004,0.008605198051445767,-0.0032600295504380487,0.000646604296941101,-0.010355620236841787,-0.003390535159317854,0.0047970569547154205,-0.004110492482553431,-0.008195519084013845,-0.0005491739894083972,-0.0008505590778440821,0.0017861189143998975,0.002679932966530032,0.0006193940381672291,0.002486121125839418,0.0028415912307779463,-0.0023990485738249845
ketoprofen,0.0466363096970739,-0.008285053107510276,0.004088077314382434,8.276435368665822e-05,0.008782584786528717,-0.0026654139919376645,-0.011371266251893618,-0.004951446334906415,-0.004240350076288451,-0.0030581378491311064,-0.00459097727084904,-0.0025674423104115143,-0.0019179978835661762,0.0007646238234617788,0.0006951666354080563,0.003915930326469467,0.0028405722337153678,0.0016758630117888408,0.002069103115947935,-0.0022216647651825605
"2-hydroxypropane-1,2,3-tricarboxylic acid",0.0037864965424573294,0.026160026236284464,0.008072021109174703,-0.00626158319956217,0.003494099669372769,0.00396363506160097,-0.0030646198956649395,-0.0014866417826917978,0.004548817838304703,0.00020949008140798292,0.014493880241428668,0.0031447110835671824,0.0026669986880898996,0.00446319206310198,0.0033807173115283974,0.004390260866507974,0.002685538109177618,0.003635380553416987,0.00490124699854112,-0.0006304904295128919
gw640129x,-0.011619980895753543,0.0023393220282923724,-0.003527127383144034,-0.0080583997713602,-0.0017370878920473839,0.0025127953543074002,0.002328498736618826,-0.004494187635274103,-0.004164463044477088,-0.001714636471877384,-0.004239661015008096,0.0035654345474597448,0.0020979952248635528,-0.002829063844053053,0.00218278705913508,-0.0015413735906877263,-0.00037092252902584736,-0.00011341468662431038,-0.0021243150163409155,-0.0007679782218956462
(benzyldisulfanyl)methylbenzene,-0.018280318957200503,-0.008139947569721698,-0.00435825289147033,-0.007831322231349986,0.014964072000875604,-0.0037278328836073344,-0.00435613270640897,-0.007125754255699576,0.005343332644450128,-0.011203930569223305,0.014287025536512375,-0.002151372742292097,0.002351315650004835,-0.0010777945457157332,-0.000864390535358325,0.004612592807796318,-0.0036656908777076753,-0.001176440944778733,0.00044881216618523467,-0.005662966920353937
gsk2904390a,-0.020718032641862005,-0.001622878285652405,-0.012523204755725601,-0.007949794387895963,-0.00248416322987282,0.002651663462031593,0.001412501790219949,-0.0007765215690460537,-0.0029845588701800808,-0.0017371016255526685,-0.0055903580991241595,0.002638082640469861,0.0033395120418708755,-0.0006816911547775819,0.002400883610454798,0.003962681983630319,-0.0008593133150770882,-0.0005399649679952744,0.003796145580954544,-0.0002915189475083935
hydroquinone,0.0987054725226335,-0.0109343612964949,-0.03996385247599392,-0.009229203679315106,0.008154354915423028,0.005055768194761186,-0.019671290292953926,-0.004570085927025502,-0.002143461723371729,0.0036944770682021044,-0.004242252059702877,-0.0073484037915477534,0.008021791606697661,-0.0015258344941503311,-0.004615319519816694,0.006488433270169481,-0.0023301281418389407,0.003100237028593256,0.0015777074977449956,-0.005175138970535044
Benzoic acid,-0.0033156250587031222,0.012051199105487244,0.0035104331911632314,0.0015535334104899209,-0.0009652938707182805,-0.001093580782358992,-0.004104894286158568,-0.0015208574344369877,0.006078936614511527,0.0003939218446485822,-0.002538261231677651,-0.0009295119840253791,0.0016144392981012694,-0.002144240514228485,-0.0002904452170281255,-0.0015572040819658826,-0.0001865413529302044,-0.002996735295852451,0.0018222457374308166,-0.0007347071748217391
"oxolane-2,5-dione",0.011367056894050619,-0.012116405215674603,-0.01144543804267414,-0.006108007483562688,-0.009564986920308912,0.005756614451879614,0.0013812018809449,0.011862944606373278,-0.003289437409748643,-0.026715863466120027,-0.0030328604731494125,0.003515215519365711,0.001047704274133139,-0.0004387716630844807,0.005025446218041907,-0.01572941795928273,-0.002803521398218436,0.0013752838050004356,-0.007933989734428906,-0.001119427464409455
salicylic acid,-0.009793048887836631,0.005672285508346249,0.0011694328981917354,-0.0007514724627355464,0.0004134678870042991,-0.0023106978941897977,9.187733206090343e-05,-0.0037577089272526794,0.0061116092397802265,0.0016386847872257929,0.003590970639456646,-0.0001557618346269011,5.5421072973786095e-05,0.0014555464875680626,-0.0003781746926351841,-0.0008766137095077282,-0.00137273621941531,0.00033026557458942985,-0.000182446490348957,-0.0012203959121128718
Testosterone propionate,-0.046708041393021635,0.041566166970546874,0.007659588865863043,0.00036561240459150187,-0.007211828196443549,-0.0040284380490106745,0.010684160415203222,-0.004149361528252484,0.004295565647394141,0.00263264135731788,-0.0052467416013132605,-0.0018331364376939516,0.0132191593221944,-0.0006406125707076171,-0.009502536276324918,0.0024744020627349528,-0.0011216212643626023,-0.004505687414148269,0.002076463791536298,0.0004717555583658848
4-Hydroxybenzoic acid,-0.010527258432082817,0.0023637189837027108,-0.001362015558166604,-0.004484741183897313,-0.0024381424643061113,-0.004492579216337618,-4.784043232666617e-05,-0.0010350502914061508,0.007965499383906716,-0.011419462874786403,0.013729866059831694,0.0007245948496620257,-0.0027491836499357308,0.0012852590343645717,0.0017177089079268627,0.0025676177369678044,0.0006387861592706941,0.0006391293448905344,-0.0010252997329844218,0.0003798191927526204
